slide,section,title,family,spec_file
40,Thoughtworks people/roles,Key team roles,hierarchy,hierarchy.spec.md
41,Thoughtworks people/roles,Key team roles,hierarchy,hierarchy.spec.md
42,Thoughtworks people/roles,Key team roles,hierarchy,hierarchy.spec.md
43,Thoughtworks principles/ways of working,Thoughtworks principles/ways of working,meta,README
44,Thoughtworks principles/ways of working,Three mindsets,relationship,relationship.spec.md
45,Thoughtworks principles/ways of working,Venn diagram,relationship,relationship.spec.md
46,Thoughtworks principles/ways of working,Venn diagram,relationship,relationship.spec.md
47,Thoughtworks principles/ways of working,Venn diagram,relationship,relationship.spec.md
48,Thoughtworks principles/ways of working,Complex to outcome benefits,process,process.spec.md
49,Thoughtworks principles/ways of working,Our iterative process for delivering value,process,process.spec.md
50,Thoughtworks principles/ways of working,Iterative value,process,process.spec.md
51,Thoughtworks principles/ways of working,‘Thin Slices’ of value,process,process.spec.md
52,Thoughtworks principles/ways of working,Deliver value early - in “Thin Slices”,process,process.spec.md
53,Thoughtworks principles/ways of working,Delivering early with “Thin Vertical Slices”,process,process.spec.md
54,Thoughtworks principles/ways of working,Our Inception approach,process,process.spec.md
55,Thoughtworks principles/ways of working,Our Inception approach,process,process.spec.md
56,Thoughtworks principles/ways of working,Inception objectives,process,process.spec.md
57,Thoughtworks principles/ways of working,Adhere to core values of software engineering,process,process.spec.md
58,Thoughtworks principles/ways of working,Audit plan 10 circles,matrix,matrix.spec.md
59,Thoughtworks principles/ways of working,Starting more is not better,matrix,matrix.spec.md
60,Organograms,Organograms,meta,README
61,Organograms,Organograms,hierarchy,hierarchy.spec.md
62,Processes and timelines,Processes and timelines,meta,README
63,Processes and timelines,Timeline,timeline,timeline.spec.md
64,Processes and timelines,Timeline,timeline,timeline.spec.md
65,Processes and timelines,Timeline,timeline,timeline.spec.md
66,Processes and timelines,Timeline,timeline,timeline.spec.md
67,Processes and timelines,Thoughtworks program inception approach,timeline,timeline.spec.md
68,Processes and timelines,Fleet management 3.0 program,timeline,timeline.spec.md
69,Processes and timelines,A roadmap to digital fluency: example,timeline,timeline.spec.md
70,Processes and timelines,Process flow,timeline,timeline.spec.md
71,Processes and timelines,Project plan,timeline,timeline.spec.md
72,Processes and timelines,Extended process,timeline,timeline.spec.md
73,Processes and timelines,Delivering a successful transition,timeline,timeline.spec.md
74,Processes and timelines,High level roadmap,timeline,timeline.spec.md
75,Client logos and thought leadership,Client logos and thought leadership,meta,README
76,Client logos and thought leadership,"Cross-industry, global experience",gallery,gallery.spec.md
77,Client logos and thought leadership,"Cross-industry, global experience",gallery,gallery.spec.md
78,Client logos and thought leadership,#1,gallery,gallery.spec.md
79,Client logos and thought leadership,Spreading thought leadership,gallery,gallery.spec.md
80,Maps,Maps,meta,README
81,Maps,‹#›,map,map.spec.md
82,Maps,Our distributed teams,map,map.spec.md
83,Maps,Our distributed teams,map,map.spec.md
84,Maps,"Technology excellence then, now and next",timeline,timeline.spec.md
85,Technical practices,Technical practices,meta,README
86,Technical practices,Automate most of the Ideal Test Pyramid,chart,chart.spec.md
87,Technical practices,Test pyramid vs. Ice cream cone,chart,chart.spec.md
88,Managing risk,Managing risk,meta,README
89,Managing risk,Risk status matrix - sample,matrix,matrix.spec.md
90,Needs and benefits,Needs and benefits,meta,README
91,Needs and benefits,Segments,relationship,relationship.spec.md
92,Needs and benefits,Segments,relationship,relationship.spec.md
93,Needs and benefits,Venn diagram,relationship,relationship.spec.md
94,Needs and benefits,Agile planning onion diagram,relationship,relationship.spec.md
95,Needs and benefits,Transitioning and evolving the platform,timeline,timeline.spec.md
96,Needs and benefits,Framework,relationship,relationship.spec.md
97,Needs and benefits,Adding value 6 circles benefits,matrix,matrix.spec.md
98,Needs and benefits,Efficiencies over time benefits,matrix,matrix.spec.md
99,Needs and benefits,Product and ownership,relationship,relationship.spec.md
100,Needs and benefits,Build measure learn in context,process,process.spec.md
101,Needs and benefits,Software delivery overview,process,process.spec.md
102,Basic elements,Basic elements,meta,README
103,Basic elements,Pie chart,chart,chart.spec.md
104,Basic elements,Pie chart,chart,chart.spec.md
105,Basic elements,Pie chart,chart,chart.spec.md
106,Basic elements,Pie sections,chart,chart.spec.md
107,Core slides,Core slides,meta,README
108,Core slides,Our approach,process,process.spec.md
109,Core slides,Discovery approach,process,process.spec.md
110,Core slides,Product discovery,process,process.spec.md
111,Core slides,Our core delivery methodology,process,process.spec.md
112,Core slides,Our core delivery methodology,process,process.spec.md
113,Core slides,Our core delivery methodology,process,process.spec.md
114,Core slides,Our core delivery methodology,process,process.spec.md
115,Core slides,Key techniques,process,process.spec.md
116,Core slides,‹#›,relationship,relationship.spec.md
117,Core slides,Our approach to testing,process,process.spec.md
118,Core slides,Build quality software with faster feedback,process,process.spec.md
119,Core slides,Thoughtworks integrated design,relationship,relationship.spec.md
120,Core slides,Our approach,process,process.spec.md
121,Core slides,Culture,relationship,relationship.spec.md
122,Resources,Resources,meta,README
123,Resources,Thoughtworks writing guide basics,style,style.spec.md
124,Resources,Typography,style,style.spec.md
125,Resources,Colors,style,style.spec.md
126,Resources,Icons,gallery,gallery.spec.md
127,Resources,Image library,gallery,gallery.spec.md
128,Resources,Deckware,gallery,gallery.spec.md
129,Resources,Slide 129,meta,README
